name;length;10;20;30;40;50
>hsa-mir-3917 MI0016423 Homo sapiens miR-3917 stem-loop;93;59;58;55;63;61;
>random_seq_from_cds__NO_10003;89;41;44;46;44;47;
>random_seq_from_cds__NO_7309;70;32;35;43;44;44;
>hsa-mir-4462 MI0016810 Homo sapiens miR-4462 stem-loop;58;2;2;3;3;6;
>hsa-mir-1302-8 MI0006369 Homo sapiens miR-1302-8 stem-loop;128;6;6;6;6;8;
>random_seq_from_cds__NO_29097;84;12;15;21;36;46;
>random_seq_from_cds__NO_37198;64;25;26;28;29;32;
>random_seq_from_cds__NO_14078;99;52;49;56;66;70;
>hsa-mir-4310 MI0015840 Homo sapiens miR-4310 stem-loop;57;6;7;7;12;16;
>hsa-mir-1287 MI0006349 Homo sapiens miR-1287 stem-loop;90;37;40;39;44;56;
>random_seq_from_cds__NO_37199;97;69;69;72;70;74;
>random_seq_from_cds__NO_21608;88;32;35;44;55;60;
>random_seq_from_cds__NO_62157;110;58;63;64;69;75;
>hsa-mir-30e MI0000749 Homo sapiens miR-30e stem-loop;92;8;11;11;13;14;
>random_seq_from_cds__NO_52350;89;58;59;60;65;64;
>random_seq_from_cds__NO_14074;70;30;33;32;43;44;
>random_seq_from_cds__NO_8298;85;39;43;49;57;56;
>hsa-mir-3142 MI0014166 Homo sapiens miR-3142 stem-loop;82;5;6;6;12;13;
>hsa-mir-1231 MI0006321 Homo sapiens miR-1231 stem-loop;92;38;38;41;51;57;
>random_seq_from_cds__NO_30562;110;62;64;67;74;78;
>random_seq_from_cds__NO_50178;85;25;27;30;41;47;
>hsa-mir-573 MI0003580 Homo sapiens miR-573 stem-loop;99;31;36;37;44;61;
>random_seq_from_cds__NO_6;97;65;66;71;76;74;
>random_seq_from_cds__NO_27382;88;36;41;51;57;59;
>random_seq_from_cds__NO_65654;119;85;84;85;81;83;
>hsa-mir-759 MI0004065 Homo sapiens miR-759 stem-loop;91;6;7;8;23;29;
>random_seq_from_cds__NO_14069;84;39;41;45;55;54;
>hsa-mir-4453 MI0016799 Homo sapiens miR-4453 stem-loop;89;37;39;40;47;50;
>hsa-mir-4288 MI0015896 Homo sapiens miR-4288 stem-loop;67;11;11;13;15;20;
>hsa-mir-567 MI0003573 Homo sapiens miR-567 stem-loop;98;23;26;29;30;31;
>random_seq_from_cds__NO_39385;86;54;51;52;59;54;
>hsa-mir-4647 MI0017274 Homo sapiens miR-4647 stem-loop;80;10;13;14;17;18;
>hsa-mir-140 MI0000456 Homo sapiens miR-140 stem-loop;100;7;6;6;10;14;
>hsa-mir-365b MI0000769 Homo sapiens miR-365b stem-loop;111;16;19;21;29;33;
>hsa-mir-3156-3 MI0014242 Homo sapiens miR-3156-3 stem-loop;77;3;3;3;4;4;
>hsa-mir-103b-2 MI0007262 Homo sapiens miR-103b-2 stem-loop;62;25;22;19;20;31;
>hsa-mir-3658 MI0016058 Homo sapiens miR-3658 stem-loop;56;20;20;21;12;6;
>hsa-mir-127 MI0000472 Homo sapiens miR-127 stem-loop;97;44;43;40;43;57;
>hsa-mir-330 MI0000803 Homo sapiens miR-330 stem-loop;94;21;21;24;31;44;
>random_seq_from_cds__NO_37175;69;29;33;32;34;35;
>random_seq_from_cds__NO_16276;110;67;68;73;75;75;
>hsa-mir-1277 MI0006419 Homo sapiens miR-1277 stem-loop;78;10;10;11;16;19;
>hsa-mir-4656 MI0017284 Homo sapiens miR-4656 stem-loop;75;10;11;11;16;17;
>random_seq_from_cds__NO_50154;110;65;64;64;72;74;
>hsa-mir-4520a MI0016886 Homo sapiens miR-4520a stem-loop;70;3;4;4;5;5;
>hsa-mir-208b MI0005570 Homo sapiens miR-208b stem-loop;77;18;16;15;24;26;
>random_seq_from_cds__NO_54997;89;56;58;57;62;65;
>random_seq_from_cds__NO_11820;90;50;49;56;64;68;
>hsa-mir-4634 MI0017261 Homo sapiens miR-4634 stem-loop;54;6;5;6;13;16;
>hsa-mir-3155a MI0014183 Homo sapiens miR-3155a stem-loop;82;3;3;3;3;3;
>random_seq_from_cds__NO_63460;90;35;39;39;51;51;
>random_seq_from_cds__NO_20763;89;41;43;47;58;63;
>hsa-mir-4692 MI0017325 Homo sapiens miR-4692 stem-loop;63;3;3;3;5;5;
>random_seq_from_cds__NO_16261;80;22;23;27;31;43;
>hsa-mir-4708 MI0017341 Homo sapiens miR-4708 stem-loop;67;2;2;2;2;3;
>hsa-mir-4761 MI0017402 Homo sapiens miR-4761 stem-loop;82;10;9;12;12;12;
>hsa-mir-3936 MI0016592 Homo sapiens miR-3936 stem-loop;110;23;28;36;45;52;
>hsa-mir-4784 MI0017429 Homo sapiens miR-4784 stem-loop;77;11;10;9;18;24;
>hsa-mir-4290 MI0015899 Homo sapiens miR-4290 stem-loop;95;27;26;30;40;55;
>random_seq_from_cds__NO_28245;110;64;63;64;72;72;
>random_seq_from_cds__NO_54983;72;33;35;35;43;43;
>random_seq_from_cds__NO_54506;69;19;20;25;33;35;
>hsa-mir-383 MI0000791 Homo sapiens miR-383 stem-loop;73;13;13;17;27;27;
>hsa-mir-3162 MI0014192 Homo sapiens miR-3162 stem-loop;82;5;5;5;6;7;
>random_seq_from_cds__NO_67408;110;44;53;59;69;74;
>random_seq_from_cds__NO_6078;88;60;61;62;70;75;
>random_seq_from_cds__NO_6076;84;40;44;44;46;48;
>random_seq_from_cds__NO_38086;86;34;40;47;53;60;
>hsa-mir-6507 MI0022219 Homo sapiens miR-6507 stem-loop;70;4;4;4;3;3;
>hsa-mir-551b MI0003575 Homo sapiens miR-551b stem-loop;96;14;15;19;20;26;
>hsa-mir-33a MI0000091 Homo sapiens miR-33a stem-loop;69;4;4;7;6;10;
>random_seq_from_cds__NO_56754;86;43;41;44;55;59;
>hsa-mir-3124 MI0014140 Homo sapiens miR-3124 stem-loop;67;8;9;10;15;21;
>hsa-mir-4777 MI0017421 Homo sapiens miR-4777 stem-loop;86;5;6;8;11;12;
>hsa-mir-548h-3 MI0006413 Homo sapiens miR-548h-3 stem-loop;118;12;14;14;15;20;
>hsa-mir-4303 MI0015834 Homo sapiens miR-4303 stem-loop;66;12;12;13;14;15;
>random_seq_from_cds__NO_35812;75;31;30;32;37;35;
>hsa-mir-4313 MI0015843 Homo sapiens miR-4313 stem-loop;101;17;15;15;16;24;
>random_seq_from_cds__NO_20787;85;27;34;43;52;57;
>random_seq_from_cds__NO_62189;110;76;74;73;74;73;
>random_seq_from_cds__NO_64367;88;43;46;49;52;57;
>hsa-mir-1285-1 MI0006346 Homo sapiens miR-1285-1 stem-loop;84;3;3;3;4;4;
>random_seq_from_cds__NO_19313;90;40;38;39;42;48;
>hsa-mir-4732 MI0017369 Homo sapiens miR-4732 stem-loop;76;20;19;19;21;21;
>random_seq_from_cds__NO_9115;85;43;46;43;50;48;
>hsa-mir-182 MI0000272 Homo sapiens miR-182 stem-loop;110;23;23;25;37;41;
>random_seq_from_cds__NO_21636;110;67;68;69;78;79;
>random_seq_from_cds__NO_51051;89;21;24;27;36;43;
>hsa-mir-3941 MI0016598 Homo sapiens miR-3941 stem-loop;103;11;11;13;13;13;
>hsa-mir-6515 MI0022227 Homo sapiens miR-6515 stem-loop;57;7;8;8;15;16;
>random_seq_from_cds__NO_10984;92;51;51;54;60;65;
>hsa-mir-26a-2 MI0000750 Homo sapiens miR-26a-2 stem-loop;84;3;4;5;10;11;
>hsa-mir-3655 MI0016055 Homo sapiens miR-3655 stem-loop;83;19;20;20;30;42;
>hsa-mir-195 MI0000489 Homo sapiens miR-195 stem-loop;87;10;12;11;15;22;
>random_seq_from_cds__NO_65685;110;58;61;67;75;71;
>hsa-mir-200b MI0000342 Homo sapiens miR-200b stem-loop;95;11;15;18;23;29;
>hsa-mir-19a MI0000073 Homo sapiens miR-19a stem-loop;82;8;9;9;13;13;
>hsa-mir-3180-4 MI0016408 Homo sapiens miR-3180-4 stem-loop;153;3;2;3;4;12;
>random_seq_from_cds__NO_31430;84;62;68;68;67;65;
>hsa-mir-4430 MI0016769 Homo sapiens miR-4430 stem-loop;49;35;31;33;46;45;
>random_seq_from_cds__NO_62170;78;41;38;41;44;45;
>random_seq_from_cds__NO_30107;73;24;31;32;35;39;
>hsa-mir-4637 MI0017264 Homo sapiens miR-4637 stem-loop;84;19;19;19;20;22;
>hsa-mir-648 MI0003663 Homo sapiens miR-648 stem-loop;94;60;61;65;68;69;
>hsa-mir-4533 MI0016900 Homo sapiens miR-4533 stem-loop;71;14;12;12;19;22;
>hsa-mir-4710 MI0017344 Homo sapiens miR-4710 stem-loop;56;7;5;9;18;19;
>random_seq_from_cds__NO_21656;71;22;22;23;30;36;
>random_seq_from_cds__NO_53697;72;23;27;29;35;38;
>random_seq_from_cds__NO_30599;80;22;28;36;51;55;
>random_seq_from_cds__NO_54541;78;29;32;33;37;40;
>random_seq_from_cds__NO_58903;73;29;31;33;43;45;
>random_seq_from_cds__NO_55873;86;48;51;53;64;65;
>hsa-mir-4680 MI0017312 Homo sapiens miR-4680 stem-loop;66;3;4;8;15;25;
>random_seq_from_cds__NO_63491;78;35;40;40;43;42;
>random_seq_from_cds__NO_10526;82;49;52;50;51;51;
>hsa-mir-499b MI0017396 Homo sapiens miR-499b stem-loop;73;17;17;17;24;32;
>random_seq_from_cds__NO_63880;82;47;47;48;47;55;
>hsa-mir-378f MI0016756 Homo sapiens miR-378f stem-loop;78;29;33;37;43;43;
>hsa-mir-548aa-2 MI0016690 Homo sapiens miR-548aa-2 stem-loop;97;1;1;1;2;4;
>random_seq_from_cds__NO_63884;86;46;49;53;58;63;
>hsa-mir-521-1 MI0003176 Homo sapiens miR-521-1 stem-loop;87;8;9;11;13;15;
>random_seq_from_cds__NO_64732;87;48;55;60;63;61;
>hsa-mir-4316 MI0015845 Homo sapiens miR-4316 stem-loop;71;8;9;12;15;25;
>hsa-mir-194-1 MI0000488 Homo sapiens miR-194-1 stem-loop;85;8;8;8;15;18;
>hsa-mir-4446 MI0016789 Homo sapiens miR-4446 stem-loop;67;12;14;13;19;28;
>hsa-mir-1322 MI0006653 Homo sapiens miR-1322 stem-loop;71;36;37;34;33;34;
>random_seq_from_cds__NO_29960;71;33;34;37;44;47;
>random_seq_from_cds__NO_27303;109;61;63;61;57;65;
>hsa-mir-4300 MI0015831 Homo sapiens miR-4300 stem-loop;96;13;15;17;20;31;
>random_seq_from_cds__NO_48244;87;53;51;57;62;66;
>hsa-mir-6085 MI0020362 Homo sapiens miR-6085 stem-loop;110;39;44;57;70;71;
>hsa-mir-6504 MI0022216 Homo sapiens miR-6504 stem-loop;61;4;4;5;6;6;
>hsa-mir-103a-2 MI0000108 Homo sapiens miR-103a-2 stem-loop;78;18;21;22;27;38;
>random_seq_from_cds__NO_61692;85;45;54;53;52;54;
>random_seq_from_cds__NO_71019;64;23;24;27;31;35;
>random_seq_from_cds__NO_61212;63;23;24;25;29;32;
>random_seq_from_cds__NO_16641;68;19;20;25;26;29;
>hsa-mir-3165 MI0014195 Homo sapiens miR-3165 stem-loop;75;3;4;4;6;8;
>random_seq_from_cds__NO_28626;72;33;34;35;37;39;
>random_seq_from_cds__NO_59377;84;33;38;44;47;56;
>hsa-mir-4653 MI0017281 Homo sapiens miR-4653 stem-loop;83;16;17;17;20;22;
>hsa-mir-3677 MI0016078 Homo sapiens miR-3677 stem-loop;60;8;8;10;9;9;
>hsa-mir-1273e MI0016059 Homo sapiens miR-1273e stem-loop;102;3;9;11;20;27;
>random_seq_from_cds__NO_50562;68;14;16;24;34;37;
>hsa-mir-4263 MI0015876 Homo sapiens miR-4263 stem-loop;83;46;48;46;53;55;
>hsa-mir-6512 MI0022224 Homo sapiens miR-6512 stem-loop;77;2;3;3;3;3;
>random_seq_from_cds__NO_48259;84;38;40;41;33;35;
>hsa-mir-511-1 MI0003127 Homo sapiens miR-511-1 stem-loop;87;9;11;12;19;24;
>random_seq_from_cds__NO_4779;94;63;63;64;66;75;
>hsa-mir-885 MI0005560 Homo sapiens miR-885 stem-loop;74;3;3;3;4;6;
>random_seq_from_cds__NO_51419;82;31;39;44;58;56;
>random_seq_from_cds__NO_35394;82;41;44;44;49;52;
>random_seq_from_cds__NO_42921;110;64;66;67;68;65;
>hsa-mir-590 MI0003602 Homo sapiens miR-590 stem-loop;97;18;20;20;21;20;
>hsa-mir-4299 MI0015829 Homo sapiens miR-4299 stem-loop;72;4;5;6;7;11;
>random_seq_from_cds__NO_69163;84;30;34;43;52;56;
>random_seq_from_cds__NO_24290;69;23;25;26;30;32;
>hsa-mir-1206 MI0006339 Homo sapiens miR-1206 stem-loop;59;17;17;21;27;29;
>random_seq_from_cds__NO_349;71;43;46;50;50;56;
>hsa-mir-4524b MI0019114 Homo sapiens miR-4524b stem-loop;115;28;28;31;30;35;
>hsa-mir-4304 MI0015832 Homo sapiens miR-4304 stem-loop;62;3;4;4;8;12;
>random_seq_from_cds__NO_64709;86;48;48;47;55;62;
>hsa-mir-588 MI0003597 Homo sapiens miR-588 stem-loop;83;3;3;4;10;15;
>hsa-mir-4328 MI0015904 Homo sapiens miR-4328 stem-loop;56;7;8;10;19;22;
>hsa-mir-936 MI0005758 Homo sapiens miR-936 stem-loop;98;21;23;26;38;41;
>random_seq_from_cds__NO_14008;110;62;67;70;61;58;
>random_seq_from_cds__NO_37109;72;21;23;29;39;37;
>random_seq_from_cds__NO_14006;84;45;47;52;51;54;
>hsa-mir-1182 MI0006275 Homo sapiens miR-1182 stem-loop;97;34;37;38;50;62;
>random_seq_from_cds__NO_17516;110;56;63;62;72;75;
>hsa-mir-4481 MI0016842 Homo sapiens miR-4481 stem-loop;60;19;21;21;24;28;
>hsa-mir-4443 MI0016786 Homo sapiens miR-4443 stem-loop;53;6;6;7;12;13;
>random_seq_from_cds__NO_42502;73;35;34;40;43;45;
>hsa-mir-5705 MI0019313 Homo sapiens miR-5705 stem-loop;89;4;4;4;3;4;
>hsa-mir-539 MI0003514 Homo sapiens miR-539 stem-loop;78;8;8;9;10;15;
>random_seq_from_cds__NO_20719;72;36;37;37;36;33;
>hsa-mir-345 MI0000825 Homo sapiens miR-345 stem-loop;98;17;18;19;17;15;
>hsa-mir-599 MI0003611 Homo sapiens miR-599 stem-loop;95;17;16;18;20;21;
>hsa-mir-6723 MI0022558 Homo sapiens miR-6723 stem-loop;89;38;43;50;63;64;
>random_seq_from_cds__NO_40326;84;44;50;48;56;58;
>hsa-mir-1304 MI0006371 Homo sapiens miR-1304 stem-loop;91;1;1;2;2;2;
>hsa-mir-1260b MI0014197 Homo sapiens miR-1260b stem-loop;89;15;17;17;26;27;
>random_seq_from_cds__NO_15360;95;48;49;50;66;69;
>random_seq_from_cds__NO_13181;87;44;48;53;57;59;
>hsa-mir-3136 MI0014158 Homo sapiens miR-3136 stem-loop;78;6;6;6;5;6;
>hsa-mir-145 MI0000461 Homo sapiens miR-145 stem-loop;88;7;6;8;10;14;
>random_seq_from_cds__NO_2547;70;23;25;29;34;37;
>random_seq_from_cds__NO_32707;80;40;43;41;42;50;
>hsa-mir-342 MI0000805 Homo sapiens miR-342 stem-loop;99;9;9;11;17;21;
>hsa-mir-1255b-2 MI0006436 Homo sapiens miR-1255b-2 stem-loop;67;4;3;3;3;4;
>random_seq_from_cds__NO_13173;81;36;39;39;43;45;
>hsa-mir-4698 MI0017331 Homo sapiens miR-4698 stem-loop;80;5;6;5;5;5;
>hsa-mir-3660 MI0016061 Homo sapiens miR-3660 stem-loop;100;9;8;10;12;17;
>random_seq_from_cds__NO_48294;81;31;32;33;46;49;
>hsa-mir-3674 MI0016075 Homo sapiens miR-3674 stem-loop;68;32;33;37;37;32;
>hsa-mir-3152 MI0014179 Homo sapiens miR-3152 stem-loop;74;2;2;2;5;4;
>random_seq_from_cds__NO_52788;80;35;39;37;40;45;
>random_seq_from_cds__NO_50124;65;24;27;29;39;33;
>random_seq_from_cds__NO_52789;89;54;55;55;68;72;
>hsa-mir-519d MI0003162 Homo sapiens miR-519d stem-loop;88;4;5;5;8;9;
>hsa-mir-1915 MI0008336 Homo sapiens miR-1915 stem-loop;80;6;13;11;12;16;
>random_seq_from_cds__NO_9161;77;41;46;46;52;43;
>random_seq_from_cds__NO_1675;89;43;45;52;61;65;
>random_seq_from_cds__NO_72377;97;39;40;44;60;69;
>hsa-mir-6501 MI0022213 Homo sapiens miR-6501 stem-loop;67;8;10;11;18;18;
>hsa-mir-4297 MI0015824 Homo sapiens miR-4297 stem-loop;76;28;31;33;42;50;
>random_seq_from_cds__NO_50112;80;23;23;23;29;33;
>random_seq_from_cds__NO_4707;84;28;29;31;29;34;
>hsa-mir-135a-1 MI0000452 Homo sapiens miR-135a-1 stem-loop;90;7;6;6;5;7;
>random_seq_from_cds__NO_16224;81;39;44;46;52;51;
>random_seq_from_cds__NO_41645;85;20;24;27;36;41;
>hsa-mir-411 MI0003675 Homo sapiens miR-411 stem-loop;96;23;23;24;28;47;
>random_seq_from_cds__NO_63411;84;42;42;45;53;57;
>random_seq_from_cds__NO_61238;78;37;42;44;55;54;
>hsa-mir-4675 MI0017306 Homo sapiens miR-4675 stem-loop;77;2;2;2;2;2;
>random_seq_from_cds__NO_13194;87;41;41;45;52;52;
>hsa-mir-1258 MI0006392 Homo sapiens miR-1258 stem-loop;73;2;2;3;5;5;
>random_seq_from_cds__NO_10924;78;31;33;39;38;38;
>hsa-mir-363 MI0000764 Homo sapiens miR-363 stem-loop;75;3;4;5;11;25;
>hsa-mir-562 MI0003568 Homo sapiens miR-562 stem-loop;95;32;32;33;49;71;
>random_seq_from_cds__NO_39329;93;26;27;32;38;35;
>hsa-mir-410 MI0002465 Homo sapiens miR-410 stem-loop;80;10;11;11;18;19;
>random_seq_from_cds__NO_60892;88;54;58;58;62;65;
>random_seq_from_cds__NO_45258;81;45;42;39;42;44;
>hsa-mir-2053 MI0010487 Homo sapiens miR-2053 stem-loop;91;7;11;12;13;20;
>hsa-mir-378h MI0016808 Homo sapiens miR-378h stem-loop;83;37;35;39;54;56;
>random_seq_from_cds__NO_27822;68;35;36;32;30;33;
>random_seq_from_cds__NO_60899;100;34;33;39;49;69;
>hsa-mir-6129 MI0021274 Homo sapiens miR-6129 stem-loop;109;41;44;45;62;72;
>random_seq_from_cds__NO_55063;72;35;35;36;38;44;
>hsa-mir-3937 MI0016593 Homo sapiens miR-3937 stem-loop;106;2;3;3;5;4;
>random_seq_from_cds__NO_4367;97;58;59;63;74;77;
>hsa-mir-3646 MI0016046 Homo sapiens miR-3646 stem-loop;84;1;1;1;3;4;
>hsa-mir-4435-2 MI0016777 Homo sapiens miR-4435-2 stem-loop;74;10;12;15;33;46;
>hsa-mir-4439 MI0016782 Homo sapiens miR-4439 stem-loop;80;5;5;5;8;10;
>hsa-mir-1289-1 MI0006350 Homo sapiens miR-1289-1 stem-loop;144;16;17;17;18;17;
>hsa-mir-6080 MI0020357 Homo sapiens miR-6080 stem-loop;66;20;19;24;26;27;
>random_seq_from_cds__NO_21279;78;17;18;23;32;36;
>random_seq_from_cds__NO_8741;87;40;43;46;57;64;
>hsa-mir-1184-1 MI0006277 Homo sapiens miR-1184-1 stem-loop;99;60;62;63;60;62;
>hsa-mir-491 MI0003126 Homo sapiens miR-491 stem-loop;84;1;1;1;2;4;
>hsa-mir-331 MI0000812 Homo sapiens miR-331 stem-loop;94;16;16;16;24;29;
>hsa-mir-128-2 MI0000727 Homo sapiens miR-128-2 stem-loop;84;16;16;17;18;23;
>hsa-mir-5708 MI0019316 Homo sapiens miR-5708 stem-loop;85;9;9;11;10;9;
>hsa-mir-5698 MI0019305 Homo sapiens miR-5698 stem-loop;72;2;2;2;2;2;
>hsa-mir-4454 MI0016800 Homo sapiens miR-4454 stem-loop;55;17;19;21;20;19;
>hsa-mir-3118-1 MI0014131 Homo sapiens miR-3118-1 stem-loop;75;2;2;3;5;5;
>hsa-mir-4756 MI0017397 Homo sapiens miR-4756 stem-loop;78;11;12;12;17;18;
>random_seq_from_cds__NO_69695;71;9;10;12;20;22;
>hsa-mir-3654 MI0016054 Homo sapiens miR-3654 stem-loop;56;21;20;19;24;30;
>random_seq_from_cds__NO_13655;84;48;52;51;55;54;
>hsa-mir-1243 MI0006373 Homo sapiens miR-1243 stem-loop;93;56;59;63;75;74;
>hsa-mir-378d-2 MI0003840 Homo sapiens miR-378d-2 stem-loop;98;32;33;33;44;54;
>hsa-mir-4498 MI0016860 Homo sapiens miR-4498 stem-loop;66;25;26;27;31;32;
>random_seq_from_cds__NO_69208;93;35;41;48;61;70;
>hsa-mir-887 MI0005562 Homo sapiens miR-887 stem-loop;79;8;7;7;8;16;
>random_seq_from_cds__NO_69204;84;32;40;42;52;58;
>random_seq_from_cds__NO_60871;69;33;33;31;35;35;
>hsa-mir-338 MI0000814 Homo sapiens miR-338 stem-loop;67;7;9;9;15;20;
>random_seq_from_cds__NO_61724;68;26;28;29;35;38;
>hsa-mir-1264 MI0003758 Homo sapiens miR-1264 stem-loop;69;13;19;19;28;31;
>random_seq_from_cds__NO_56372;92;60;61;57;65;68;
>hsa-mir-4670 MI0017301 Homo sapiens miR-4670 stem-loop;75;2;2;2;4;5;
>hsa-mir-3616 MI0016006 Homo sapiens miR-3616 stem-loop;92;11;11;10;8;8;
>random_seq_from_cds__NO_22153;71;28;28;32;35;36;
>hsa-mir-564 MI0003570 Homo sapiens miR-564 stem-loop;94;22;21;22;24;27;
>random_seq_from_cds__NO_13206;90;16;20;32;66;70;
>random_seq_from_cds__NO_13687;110;72;72;72;72;75;
>random_seq_from_cds__NO_51926;71;36;37;37;37;37;
>hsa-mir-4665 MI0017295 Homo sapiens miR-4665 stem-loop;79;12;14;15;17;22;
>hsa-mir-367 MI0000775 Homo sapiens miR-367 stem-loop;68;8;7;8;14;17;
>random_seq_from_cds__NO_68347;84;30;31;32;41;48;
>hsa-mir-3977 MI0016995 Homo sapiens miR-3977 stem-loop;70;35;37;35;40;37;
>hsa-mir-449b MI0003673 Homo sapiens miR-449b stem-loop;97;17;21;28;47;55;
>random_seq_from_cds__NO_45246;86;50;50;55;60;65;
>random_seq_from_cds__NO_6540;81;28;30;32;37;50;
>random_seq_from_cds__NO_57691;89;48;50;50;58;66;
>random_seq_from_cds__NO_3031;70;28;33;38;38;43;
>hsa-mir-5688 MI0019292 Homo sapiens miR-5688 stem-loop;83;3;4;4;3;4;
>random_seq_from_cds__NO_26981;86;40;48;51;56;59;
>hsa-mir-4725 MI0017362 Homo sapiens miR-4725 stem-loop;90;18;19;20;28;28;
>hsa-mir-4504 MI0016867 Homo sapiens miR-4504 stem-loop;92;3;4;4;6;9;
>random_seq_from_cds__NO_25653;87;44;48;53;57;58;
>hsa-mir-4255 MI0015863 Homo sapiens miR-4255 stem-loop;72;31;32;36;38;39;
>hsa-mir-3117 MI0014130 Homo sapiens miR-3117 stem-loop;78;17;19;23;26;31;
>hsa-mir-3169 MI0014200 Homo sapiens miR-3169 stem-loop;83;8;8;8;10;10;
>random_seq_from_cds__NO_35011;81;21;27;31;34;40;
>hsa-mir-4457 MI0016803 Homo sapiens miR-4457 stem-loop;68;5;4;5;5;6;
>random_seq_from_cds__NO_34168;84;43;47;49;58;55;
>hsa-mir-1284 MI0006431 Homo sapiens miR-1284 stem-loop;120;10;11;12;14;19;
>random_seq_from_cds__NO_61305;93;41;40;45;65;55;
>hsa-mir-635 MI0003650 Homo sapiens miR-635 stem-loop;98;36;35;37;58;67;
>random_seq_from_cds__NO_63969;110;50;62;69;71;75;
>hsa-mir-4301 MI0015828 Homo sapiens miR-4301 stem-loop;66;11;13;14;18;24;
>hsa-mir-412 MI0002464 Homo sapiens miR-412 stem-loop;91;20;22;23;24;25;
>hsa-mir-432 MI0003133 Homo sapiens miR-432 stem-loop;94;24;28;30;47;63;
>hsa-mir-5701-1 MI0019308 Homo sapiens miR-5701-1 stem-loop;82;9;12;13;14;16;
>hsa-mir-575 MI0003582 Homo sapiens miR-575 stem-loop;94;16;20;25;48;56;
>hsa-mir-4652 MI0017280 Homo sapiens miR-4652 stem-loop;78;9;10;10;12;14;
>hsa-mir-1262 MI0006397 Homo sapiens miR-1262 stem-loop;93;58;59;61;52;60;
>random_seq_from_cds__NO_69259;100;52;61;70;75;78;
>hsa-mir-484 MI0002468 Homo sapiens miR-484 stem-loop;79;20;21;28;39;45;
>hsa-mir-569 MI0003576 Homo sapiens miR-569 stem-loop;96;26;39;45;69;63;
>random_seq_from_cds__NO_34174;110;73;69;67;73;78;
>hsa-mir-218-1 MI0000294 Homo sapiens miR-218-1 stem-loop;110;14;12;16;20;26;
>hsa-mir-1254-1 MI0006388 Homo sapiens miR-1254-1 stem-loop;97;21;23;23;30;46;
>random_seq_from_cds__NO_26523;98;37;42;45;66;71;
>hsa-mir-4452 MI0016798 Homo sapiens miR-4452 stem-loop;71;2;2;2;2;2;
>hsa-mir-320c-1 MI0003778 Homo sapiens miR-320c-1 stem-loop;88;8;9;11;13;18;
>hsa-mir-3651 MI0016051 Homo sapiens miR-3651 stem-loop;90;53;55;62;65;64;
>hsa-mir-1181 MI0006274 Homo sapiens miR-1181 stem-loop;81;28;28;27;28;39;
>random_seq_from_cds__NO_72418;67;24;28;24;28;30;
>random_seq_from_cds__NO_13245;86;46;43;45;51;56;
>random_seq_from_cds__NO_14576;84;36;42;45;50;39;
>random_seq_from_cds__NO_37655;83;45;50;51;55;56;
>random_seq_from_cds__NO_62610;82;40;43;47;54;52;
>random_seq_from_cds__NO_34141;80;48;48;46;51;47;
>random_seq_from_cds__NO_33293;90;28;31;37;52;50;
>hsa-mir-509-3 MI0005717 Homo sapiens miR-509-3 stem-loop;75;7;8;9;12;15;
>hsa-mir-4321 MI0015852 Homo sapiens miR-4321 stem-loop;80;28;30;35;35;41;
>hsa-mir-4655 MI0017283 Homo sapiens miR-4655 stem-loop;74;5;6;8;7;12;
>random_seq_from_cds__NO_59449;84;28;30;34;39;39;
>random_seq_from_cds__NO_34149;65;10;13;14;21;26;
>hsa-mir-19b-1 MI0000074 Homo sapiens miR-19b-1 stem-loop;87;6;10;12;14;15;
>hsa-mir-3974 MI0016992 Homo sapiens miR-3974 stem-loop;96;49;51;52;69;51;
>hsa-mir-1299 MI0006359 Homo sapiens miR-1299 stem-loop;83;13;14;16;25;35;
>hsa-mir-4716 MI0017350 Homo sapiens miR-4716 stem-loop;84;2;2;3;3;4;
>random_seq_from_cds__NO_50636;84;40;38;38;59;57;
>random_seq_from_cds__NO_69246;89;47;50;59;70;64;
>hsa-mir-548ar MI0019131 Homo sapiens miR-548ar stem-loop;57;7;7;8;18;21;
>random_seq_from_cds__NO_15894;83;42;38;39;42;50;
>hsa-mir-551a MI0003556 Homo sapiens miR-551a stem-loop;96;16;16;16;20;21;
>hsa-mir-181a-2 MI0000269 Homo sapiens miR-181a-2 stem-loop;110;9;9;9;12;15;
>random_seq_from_cds__NO_55070;77;33;35;36;37;39;
>random_seq_from_cds__NO_16744;100;50;57;61;64;66;
>hsa-mir-4418 MI0016754 Homo sapiens miR-4418 stem-loop;62;20;21;20;24;28;
>hsa-mir-5702 MI0019309 Homo sapiens miR-5702 stem-loop;84;8;9;11;9;11;
>random_seq_from_cds__NO_26547;81;40;39;45;53;56;
>random_seq_from_cds__NO_70221;71;28;29;29;38;41;
>random_seq_from_cds__NO_40833;87;29;34;35;42;52;
>hsa-mir-4751 MI0017390 Homo sapiens miR-4751 stem-loop;74;21;22;24;29;38;
>random_seq_from_cds__NO_5648;64;31;30;28;32;31;
>random_seq_from_cds__NO_47464;77;41;45;47;48;48;
>random_seq_from_cds__NO_18924;84;53;56;54;56;58;
>random_seq_from_cds__NO_48792;87;39;37;41;46;52;
>hsa-mir-627 MI0003641 Homo sapiens miR-627 stem-loop;97;7;7;8;8;9;
>hsa-mir-21 MI0000077 Homo sapiens miR-21 stem-loop;72;5;6;10;10;15;
